dataset_name,InceptionTime,OS-CNN
ACSF1,0.90,0.902
Adiac,0.83,0.834526856
AllGestureWiimoteX,0.77,0.801714286
AllGestureWiimoteY,0.81,0.813571429
AllGestureWiimoteZ,0.79,0.776571429
ArrowHead,0.85,0.837714285
Beef,0.69,0.806666666
BeetleFly,0.80,0.815
BirdChicken,0.95,0.885
BME,0.99,1
Car,0.89,0.93333333
CBF,1.00,0.999888889
Chinatown,0.98,0.976811594
ChlorineConcentration,0.87,0.838697917
CinCECGTorso,0.84,0.827463769
Coffee,1.00,1
Computers,0.79,0.7068
CricketX,0.84,0.855128205
CricketY,0.84,0.867179487
CricketZ,0.85,0.863076923
Crop,0.75,0.768791667
DiatomSizeReduction,0.93,0.977124184
DistalPhalanxOutlineAgeGroup,0.73,0.738129496
DistalPhalanxOutlineCorrect,0.77,0.76594203
DistalPhalanxTW,0.66,0.664028775
DodgerLoopDay,0.15,0.53875
DodgerLoopGame,0.85,0.887681159
DodgerLoopWeekend,0.97,0.97826087
Earthquakes,0.74,0.669784174
ECG200,0.92,0.908
ECG5000,0.94,0.940088889
ECGFiveDays,1.00,0.999535424
ElectricDevices,0.71,0.723589678
EOGHorizontalSignal,0.59,0.639779006
EOGVerticalSignal,0.46,0.477624309
EthanolLevel,0.80,0.7308
FaceAll,0.80,0.844733728
FaceFour,0.96,0.951136363
FacesUCR,0.96,0.967414633
FiftyWords,0.81,0.816043955
Fish,0.98,0.987428571
FordA,0.96,0.954772725
FordB,0.85,0.837901234
FreezerRegularTrain,1.00,0.996631579
FreezerSmallTrain,0.87,0.881894737
Fungi,1.00,1
GestureMidAirD1,0.73,0.73
GestureMidAirD2,0.71,0.632307692
GestureMidAirD3,0.37,0.416923077
GesturePebbleZ1,0.92,0.920348837
GesturePebbleZ2,0.87,0.899367089
GunPoint,1.00,0.999333333
GunPointAgeSpan,0.99,0.991772152
GunPointMaleVersusFemale,1.00,0.999367089
GunPointOldVersusYoung,0.96,1
Ham,0.70,0.703809523
HandOutlines,0.95,0.929459461
Haptics,0.55,0.510064935
Herring,0.67,0.6078125
HouseTwenty,0.97,0.948739496
InlineSkate,0.49,0.429272727
InsectEPGRegularTrain,1.00,0.951004016
InsectEPGSmallTrain,0.94,0.444176707
InsectWingbeatSound,0.63,0.63520202
ItalyPowerDemand,0.96,0.947230322
LargeKitchenAppliances,0.90,0.895733334
Lightning2,0.79,0.806557378
Lightning7,0.80,0.793150687
Mallat,0.94,0.963837955
Meat,0.93,0.946666668
MedicalImages,0.79,0.769473683
MelbournePedestrian,0.91,0.898612245
MiddlePhalanxOutlineAgeGroup,0.52,0.536363637
MiddlePhalanxOutlineCorrect,0.82,0.814089348
MiddlePhalanxTW,0.51,0.519480519
MixedShapesRegularTrain,0.97,0.960907216
MixedShapesSmallTrain,0.91,0.926185567
MoteStrain,0.89,0.926357828
NonInvasiveFetalECGThorax1,0.96,0.962697201
NonInvasiveFetalECGThorax2,0.96,0.960050891
OliveOil,0.82,0.786666666
OSULeaf,0.92,0.940082645
PhalangesOutlinesCorrect,0.84,0.829720281
Phoneme,0.33,0.304535865
PickupGestureWiimoteZ,0.74,0.918
PigAirwayPressure,0.53,0.619711538
PigArtPressure,0.99,0.992307692
PigCVP,0.95,0.811057692
PLAID,0.94,0.19255121
Plane,1.00,1
PowerCons,0.95,0.99
ProximalPhalanxOutlineAgeGroup,0.84,0.843902441
ProximalPhalanxOutlineCorrect,0.92,0.90790378
ProximalPhalanxTW,0.78,0.773170733
RefrigerationDevices,0.52,0.502933333
Rock,0.75,0.55
ScreenType,0.58,0.526400002
SemgHandGenderCh2,0.80,0.856166667
SemgHandMovementCh2,0.42,0.566222222
SemgHandSubjectCh2,0.79,0.718444444
ShakeGestureWiimoteZ,0.90,0.962
ShapeletSim,0.92,0.799444444
ShapesAll,0.92,0.920333332
SmallKitchenAppliances,0.76,0.720799999
SmoothSubspace,0.98,0.988666667
SonyAIBORobotSurface1,0.86,0.979534109
SonyAIBORobotSurface2,0.95,0.953830011
StarLightCurves,0.98,0.975036426
Strawberry,0.98,0.981891892
SwedishLeaf,0.96,0.9712
Symbols,0.98,0.96120603
SyntheticControl,1.00,0.999333334
ToeSegmentation1,0.96,0.953947369
ToeSegmentation2,0.94,0.946153846
Trace,1.00,1
TwoLeadECG,1.00,0.999209836
TwoPatterns,1.00,1
UMD,0.98,0.993055556
UWaveGestureLibraryAll,0.94,0.942462313
UWaveGestureLibraryX,0.81,0.821803462
UWaveGestureLibraryY,0.75,0.757174762
UWaveGestureLibraryZ,0.75,0.763623675
Wafer,1.00,0.998377676
Wine,0.66,0.744444443
WordSynonyms,0.73,0.742319748
Worms,0.77,0.764935065
WormsTwoClass,0.78,0.657142857
Yoga,0.89,0.910566666
